#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
10.0%	1000	-107261.40624707169	302.3048854222012	0
20.0%	2000	-107807.36012873286	298.94206298883284	418
30.0%	3000	-107718.49311761139	304.03330494770466	393
40.0%	4000	-107654.33028152585	299.9947615559249	401
50.0%	5000	-107869.26142755453	299.2189520401088	405
60.0%	6000	-108158.70510593383	296.8278085866393	397
70.0%	7000	-107282.34764607344	304.5253346551129	401
80.0%	8000	-107813.45365126827	302.42695374902337	397
90.0%	9000	-108232.2259577054	297.3641006039558	400
100.0%	10000	-107775.87175895413	296.6657882671016	397
