#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
10.0%	1000	-108674.47155307117	301.87430633737625	0
20.0%	2000	-108639.36568343895	304.78704977659396	422
30.0%	3000	-108202.17892781831	302.72408094036695	392
40.0%	4000	-108238.93260889407	301.5943293202798	399
50.0%	5000	-108045.6869656099	301.1616794562881	389
60.0%	6000	-107804.85370869306	294.31954205295176	395
70.0%	7000	-107655.0117717695	304.9961450636261	390
80.0%	8000	-107914.94005383318	300.00014490504833	388
90.0%	9000	-108362.99875574047	305.34715938195944	391
100.0%	10000	-107961.6522296879	300.7151821479928	389
