#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
10.0%	1000	-108062.36251979275	303.1014687188697	0
20.0%	2000	-108021.23751315265	305.5274151900722	394
30.0%	3000	-108111.5438810985	299.68330900001644	408
40.0%	4000	-108330.05516961566	298.3289419840191	402
50.0%	5000	-108466.86442539445	292.5194310727093	407
60.0%	6000	-108446.50487744552	300.1234522106214	403
70.0%	7000	-108234.76687012892	301.1045908562606	406
80.0%	8000	-107999.443374475	300.68247962270107	404
90.0%	9000	-107993.63543600217	309.0270822038941	406
100.0%	10000	-107995.13813944254	303.6637856725115	405
