#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
10.0%	1000	-108309.63055382366	302.4056102618675	0
20.0%	2000	-108573.31759902323	298.0697366446445	383
30.0%	3000	-107765.4802102244	299.6950286629551	400
40.0%	4000	-107525.35103739984	300.05616626452905	393
50.0%	5000	-107868.40770918597	297.25869403056475	402
60.0%	6000	-107453.80056840857	300.5735304766291	397
70.0%	7000	-108003.63633575942	296.73732936103715	403
80.0%	8000	-107880.1405470504	304.47821772403745	399
90.0%	9000	-107902.82511228789	298.07764740958675	403
100.0%	10000	-107932.44375442318	299.7972712582417	400
