#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
10.0%	1000	-107557.08079151157	302.68159834692443	0
20.0%	2000	-107769.0570042627	306.4114239643508	385
30.0%	3000	-107932.35923316167	300.50148701586954	402
40.0%	4000	-107759.11640859512	300.1637932935506	397
50.0%	5000	-108571.70355800865	302.3813915293887	405
60.0%	6000	-108334.79594013607	299.3522818347259	410
70.0%	7000	-107892.84495512489	302.6572407189947	406
80.0%	8000	-108167.17733365577	298.0014778772128	410
90.0%	9000	-108445.41884932294	301.2726615775646	412
100.0%	10000	-108470.19614569284	296.84552393666485	409
